Epoch 1 loss = 1153.38751 	 PPV@L = 0.415 	 First Error = 3
Epoch 2 loss = 952.49473 	 PPV@L = 0.415 	 First Error = 4
Epoch 3 loss = 831.94987 	 PPV@L = 0.415 	 First Error = 3
Epoch 4 loss = 719.25111 	 PPV@L = 0.434 	 First Error = 3
Epoch 5 loss = 646.72683 	 PPV@L = 0.453 	 First Error = 4
Epoch 6 loss = 587.47491 	 PPV@L = 0.453 	 First Error = 4
Epoch 7 loss = 536.17665 	 PPV@L = 0.491 	 First Error = 3
Epoch 8 loss = 490.50109 	 PPV@L = 0.491 	 First Error = 3
Epoch 9 loss = 449.02015 	 PPV@L = 0.472 	 First Error = 3
Epoch 10 loss = 411.04354 	 PPV@L = 0.509 	 First Error = 3
Epoch 11 loss = 376.699 	 PPV@L = 0.509 	 First Error = 3
Epoch 12 loss = 345.39385 	 PPV@L = 0.509 	 First Error = 3
Epoch 13 loss = 317.1928 	 PPV@L = 0.547 	 First Error = 3
Epoch 14 loss = 291.82518 	 PPV@L = 0.566 	 First Error = 3
Epoch 15 loss = 269.30186 	 PPV@L = 0.566 	 First Error = 3
Epoch 16 loss = 249.18185 	 PPV@L = 0.566 	 First Error = 3
Epoch 17 loss = 231.28642 	 PPV@L = 0.566 	 First Error = 3
Epoch 18 loss = 215.41592 	 PPV@L = 0.547 	 First Error = 3
Epoch 19 loss = 201.37545 	 PPV@L = 0.509 	 First Error = 5
Epoch 20 loss = 188.92329 	 PPV@L = 0.528 	 First Error = 4
Epoch 21 loss = 177.90013 	 PPV@L = 0.528 	 First Error = 4
Epoch 22 loss = 168.1164 	 PPV@L = 0.547 	 First Error = 4
Epoch 23 loss = 159.3983 	 PPV@L = 0.547 	 First Error = 4
Epoch 24 loss = 151.73174 	 PPV@L = 0.566 	 First Error = 4
Epoch 25 loss = 144.9291 	 PPV@L = 0.585 	 First Error = 4
Epoch 26 loss = 138.91699 	 PPV@L = 0.604 	 First Error = 5
Epoch 27 loss = 133.54151 	 PPV@L = 0.604 	 First Error = 5
Epoch 28 loss = 128.88218 	 PPV@L = 0.623 	 First Error = 5
Epoch 29 loss = 124.6907 	 PPV@L = 0.642 	 First Error = 5
Epoch 30 loss = 120.95262 	 PPV@L = 0.66 	 First Error = 6
Epoch 31 loss = 117.69553 	 PPV@L = 0.679 	 First Error = 7
Epoch 32 loss = 114.76098 	 PPV@L = 0.66 	 First Error = 8
Epoch 33 loss = 112.21912 	 PPV@L = 0.679 	 First Error = 8
Epoch 34 loss = 109.94032 	 PPV@L = 0.66 	 First Error = 8
Epoch 35 loss = 107.90157 	 PPV@L = 0.679 	 First Error = 9
Epoch 36 loss = 106.13848 	 PPV@L = 0.698 	 First Error = 9
Epoch 37 loss = 104.51232 	 PPV@L = 0.698 	 First Error = 9
Epoch 38 loss = 103.09736 	 PPV@L = 0.698 	 First Error = 10
Epoch 39 loss = 101.87589 	 PPV@L = 0.698 	 First Error = 11
Epoch 40 loss = 100.74459 	 PPV@L = 0.736 	 First Error = 12
Epoch 41 loss = 99.73408 	 PPV@L = 0.736 	 First Error = 12
Epoch 42 loss = 98.87698 	 PPV@L = 0.792 	 First Error = 13
Epoch 43 loss = 98.11494 	 PPV@L = 0.83 	 First Error = 14
Epoch 44 loss = 97.43264 	 PPV@L = 0.849 	 First Error = 14
Epoch 45 loss = 96.82755 	 PPV@L = 0.83 	 First Error = 14
Epoch 46 loss = 96.30446 	 PPV@L = 0.811 	 First Error = 16
Epoch 47 loss = 95.81476 	 PPV@L = 0.83 	 First Error = 16
Epoch 48 loss = 95.31482 	 PPV@L = 0.83 	 First Error = 16
Epoch 49 loss = 94.96461 	 PPV@L = 0.849 	 First Error = 19
Epoch 50 loss = 94.63241 	 PPV@L = 0.849 	 First Error = 20
Epoch 51 loss = 94.32866 	 PPV@L = 0.868 	 First Error = 21
Epoch 52 loss = 94.03511 	 PPV@L = 0.887 	 First Error = 21
Epoch 53 loss = 93.74049 	 PPV@L = 0.887 	 First Error = 21
Epoch 54 loss = 93.54474 	 PPV@L = 0.906 	 First Error = 21
Epoch 55 loss = 93.35507 	 PPV@L = 0.906 	 First Error = 21
Epoch 56 loss = 93.27584 	 PPV@L = 0.906 	 First Error = 21
Epoch 57 loss = 93.0496 	 PPV@L = 0.906 	 First Error = 21
Epoch 58 loss = 92.91804 	 PPV@L = 0.887 	 First Error = 21
Epoch 59 loss = 92.74735 	 PPV@L = 0.925 	 First Error = 21
Epoch 60 loss = 92.61005 	 PPV@L = 0.906 	 First Error = 22
Epoch 61 loss = 92.54656 	 PPV@L = 0.906 	 First Error = 23
Epoch 62 loss = 92.48361 	 PPV@L = 0.906 	 First Error = 23
Epoch 63 loss = 92.32213 	 PPV@L = 0.906 	 First Error = 23
Epoch 64 loss = 92.30202 	 PPV@L = 0.906 	 First Error = 23
Epoch 65 loss = 92.23073 	 PPV@L = 0.887 	 First Error = 23
Epoch 66 loss = 92.10569 	 PPV@L = 0.887 	 First Error = 24
Epoch 67 loss = 92.06338 	 PPV@L = 0.887 	 First Error = 24
Epoch 68 loss = 91.96001 	 PPV@L = 0.887 	 First Error = 23
Epoch 69 loss = 91.93487 	 PPV@L = 0.887 	 First Error = 23
Epoch 70 loss = 91.88596 	 PPV@L = 0.887 	 First Error = 23
Epoch 71 loss = 91.78583 	 PPV@L = 0.887 	 First Error = 23
Epoch 72 loss = 91.7491 	 PPV@L = 0.887 	 First Error = 24
Epoch 73 loss = 91.69342 	 PPV@L = 0.887 	 First Error = 23
Epoch 74 loss = 91.72775 	 PPV@L = 0.887 	 First Error = 23
Epoch 75 loss = 91.66208 	 PPV@L = 0.887 	 First Error = 23
Epoch 76 loss = 91.58294 	 PPV@L = 0.887 	 First Error = 23
Epoch 77 loss = 91.5625 	 PPV@L = 0.887 	 First Error = 23
Epoch 78 loss = 91.47696 	 PPV@L = 0.887 	 First Error = 23
Epoch 79 loss = 91.36951 	 PPV@L = 0.887 	 First Error = 23
Epoch 80 loss = 91.33713 	 PPV@L = 0.887 	 First Error = 23
Epoch 81 loss = 91.32124 	 PPV@L = 0.887 	 First Error = 23
Epoch 82 loss = 91.32625 	 PPV@L = 0.887 	 First Error = 22
Epoch 83 loss = 91.28212 	 PPV@L = 0.887 	 First Error = 22
Epoch 84 loss = 91.29222 	 PPV@L = 0.887 	 First Error = 22
Epoch 85 loss = 91.24519 	 PPV@L = 0.887 	 First Error = 22
Epoch 86 loss = 91.26615 	 PPV@L = 0.887 	 First Error = 22
Epoch 87 loss = 91.32581 	 PPV@L = 0.887 	 First Error = 22
Epoch 88 loss = 91.1848 	 PPV@L = 0.887 	 First Error = 22
Epoch 89 loss = 91.24305 	 PPV@L = 0.887 	 First Error = 23
Epoch 90 loss = 91.26804 	 PPV@L = 0.887 	 First Error = 22
Epoch 91 loss = 91.11632 	 PPV@L = 0.887 	 First Error = 22
Epoch 92 loss = 91.07077 	 PPV@L = 0.887 	 First Error = 22
Epoch 93 loss = 90.94675 	 PPV@L = 0.887 	 First Error = 22
Epoch 94 loss = 91.02749 	 PPV@L = 0.887 	 First Error = 22
Epoch 95 loss = 90.99279 	 PPV@L = 0.887 	 First Error = 22
Epoch 96 loss = 91.01529 	 PPV@L = 0.868 	 First Error = 22
Epoch 97 loss = 90.84133 	 PPV@L = 0.887 	 First Error = 22
Epoch 98 loss = 90.80814 	 PPV@L = 0.887 	 First Error = 22
Epoch 99 loss = 90.70623 	 PPV@L = 0.868 	 First Error = 20
Epoch 100 loss = 90.65593 	 PPV@L = 0.887 	 First Error = 22
Epoch 101 loss = 90.73439 	 PPV@L = 0.887 	 First Error = 22
Epoch 102 loss = 90.65122 	 PPV@L = 0.906 	 First Error = 22
Epoch 103 loss = 90.77026 	 PPV@L = 0.887 	 First Error = 22
Epoch 104 loss = 90.79055 	 PPV@L = 0.887 	 First Error = 22
Epoch 105 loss = 90.56409 	 PPV@L = 0.887 	 First Error = 22
Epoch 106 loss = 90.55258 	 PPV@L = 0.887 	 First Error = 21
Epoch 107 loss = 90.38146 	 PPV@L = 0.868 	 First Error = 22
Epoch 108 loss = 90.41936 	 PPV@L = 0.868 	 First Error = 22
Epoch 109 loss = 90.41437 	 PPV@L = 0.849 	 First Error = 21
Epoch 110 loss = 90.4172 	 PPV@L = 0.868 	 First Error = 20
Epoch 111 loss = 90.4112 	 PPV@L = 0.868 	 First Error = 21
Epoch 112 loss = 90.33579 	 PPV@L = 0.868 	 First Error = 21
Epoch 113 loss = 90.42127 	 PPV@L = 0.868 	 First Error = 20
Epoch 114 loss = 90.20171 	 PPV@L = 0.887 	 First Error = 20
Epoch 115 loss = 90.34239 	 PPV@L = 0.887 	 First Error = 20
Epoch 116 loss = 90.20273 	 PPV@L = 0.887 	 First Error = 21
Epoch 117 loss = 90.16012 	 PPV@L = 0.868 	 First Error = 21
Epoch 118 loss = 90.10419 	 PPV@L = 0.868 	 First Error = 20
Epoch 119 loss = 90.15968 	 PPV@L = 0.887 	 First Error = 21
Epoch 120 loss = 90.15686 	 PPV@L = 0.868 	 First Error = 21
Epoch 121 loss = 90.01463 	 PPV@L = 0.868 	 First Error = 20
Epoch 122 loss = 90.04154 	 PPV@L = 0.868 	 First Error = 20
Epoch 123 loss = 90.04098 	 PPV@L = 0.868 	 First Error = 20
Epoch 124 loss = 89.95221 	 PPV@L = 0.868 	 First Error = 21
Epoch 125 loss = 89.84102 	 PPV@L = 0.868 	 First Error = 20
Epoch 126 loss = 89.75998 	 PPV@L = 0.868 	 First Error = 20
Epoch 127 loss = 89.76246 	 PPV@L = 0.868 	 First Error = 20
Epoch 128 loss = 89.76921 	 PPV@L = 0.868 	 First Error = 20
Epoch 129 loss = 89.77026 	 PPV@L = 0.83 	 First Error = 20
Epoch 130 loss = 89.70742 	 PPV@L = 0.83 	 First Error = 20
Epoch 131 loss = 89.67387 	 PPV@L = 0.83 	 First Error = 20
Epoch 132 loss = 89.56404 	 PPV@L = 0.849 	 First Error = 20
Epoch 133 loss = 89.54328 	 PPV@L = 0.849 	 First Error = 20
Epoch 134 loss = 89.51772 	 PPV@L = 0.83 	 First Error = 20
Epoch 135 loss = 89.57388 	 PPV@L = 0.83 	 First Error = 21
Epoch 136 loss = 89.53093 	 PPV@L = 0.868 	 First Error = 23
Epoch 137 loss = 89.56684 	 PPV@L = 0.83 	 First Error = 21
