Epoch 1 loss = 914.77056 	 PPV@L = 0.396 	 PPV@2L = 0.387 	 First Error = 1
Epoch 2 loss = 601.99473 	 PPV@L = 0.396 	 PPV@2L = 0.415 	 First Error = 1
Epoch 3 loss = 485.34804 	 PPV@L = 0.396 	 PPV@2L = 0.406 	 First Error = 1
Epoch 4 loss = 448.60305 	 PPV@L = 0.396 	 PPV@2L = 0.406 	 First Error = 1
Epoch 5 loss = 420.67366 	 PPV@L = 0.415 	 PPV@2L = 0.406 	 First Error = 1
Epoch 6 loss = 394.96579 	 PPV@L = 0.415 	 PPV@2L = 0.396 	 First Error = 1
Epoch 7 loss = 375.13906 	 PPV@L = 0.434 	 PPV@2L = 0.387 	 First Error = 1
Epoch 8 loss = 358.28892 	 PPV@L = 0.434 	 PPV@2L = 0.396 	 First Error = 1
Epoch 9 loss = 343.82863 	 PPV@L = 0.434 	 PPV@2L = 0.387 	 First Error = 1
Epoch 10 loss = 330.58517 	 PPV@L = 0.453 	 PPV@2L = 0.406 	 First Error = 1
Epoch 11 loss = 317.92233 	 PPV@L = 0.453 	 PPV@2L = 0.415 	 First Error = 1
Epoch 12 loss = 305.78193 	 PPV@L = 0.434 	 PPV@2L = 0.425 	 First Error = 1
Epoch 13 loss = 294.15786 	 PPV@L = 0.453 	 PPV@2L = 0.434 	 First Error = 1
Epoch 14 loss = 282.99409 	 PPV@L = 0.453 	 PPV@2L = 0.453 	 First Error = 1
Epoch 15 loss = 272.30963 	 PPV@L = 0.472 	 PPV@2L = 0.491 	 First Error = 1
Epoch 16 loss = 262.1125 	 PPV@L = 0.453 	 PPV@2L = 0.509 	 First Error = 1
Epoch 17 loss = 252.40536 	 PPV@L = 0.434 	 PPV@2L = 0.519 	 First Error = 1
Epoch 18 loss = 243.14994 	 PPV@L = 0.453 	 PPV@2L = 0.519 	 First Error = 2
Epoch 19 loss = 234.36173 	 PPV@L = 0.472 	 PPV@2L = 0.528 	 First Error = 2
Epoch 20 loss = 226.02315 	 PPV@L = 0.472 	 PPV@2L = 0.528 	 First Error = 2
Epoch 21 loss = 218.12906 	 PPV@L = 0.509 	 PPV@2L = 0.528 	 First Error = 3
Epoch 22 loss = 210.63228 	 PPV@L = 0.547 	 PPV@2L = 0.528 	 First Error = 3
Epoch 23 loss = 203.56019 	 PPV@L = 0.566 	 PPV@2L = 0.528 	 First Error = 3
Epoch 24 loss = 196.85913 	 PPV@L = 0.566 	 PPV@2L = 0.528 	 First Error = 3
Epoch 25 loss = 190.53265 	 PPV@L = 0.566 	 PPV@2L = 0.538 	 First Error = 3
Epoch 26 loss = 184.56138 	 PPV@L = 0.604 	 PPV@2L = 0.547 	 First Error = 3
Epoch 27 loss = 178.92595 	 PPV@L = 0.604 	 PPV@2L = 0.557 	 First Error = 3
Epoch 28 loss = 173.61188 	 PPV@L = 0.604 	 PPV@2L = 0.575 	 First Error = 3
Epoch 29 loss = 168.59391 	 PPV@L = 0.585 	 PPV@2L = 0.575 	 First Error = 3
Epoch 30 loss = 163.87384 	 PPV@L = 0.623 	 PPV@2L = 0.585 	 First Error = 3
Epoch 31 loss = 159.42721 	 PPV@L = 0.623 	 PPV@2L = 0.585 	 First Error = 3
Epoch 32 loss = 155.23779 	 PPV@L = 0.623 	 PPV@2L = 0.585 	 First Error = 3
Epoch 33 loss = 151.29398 	 PPV@L = 0.642 	 PPV@2L = 0.575 	 First Error = 3
Epoch 34 loss = 147.59026 	 PPV@L = 0.66 	 PPV@2L = 0.575 	 First Error = 3
Epoch 35 loss = 144.09691 	 PPV@L = 0.679 	 PPV@2L = 0.566 	 First Error = 3
Epoch 36 loss = 140.8136 	 PPV@L = 0.679 	 PPV@2L = 0.575 	 First Error = 4
Epoch 37 loss = 137.72324 	 PPV@L = 0.679 	 PPV@2L = 0.585 	 First Error = 4
Epoch 38 loss = 134.82102 	 PPV@L = 0.679 	 PPV@2L = 0.613 	 First Error = 5
Epoch 39 loss = 132.10332 	 PPV@L = 0.66 	 PPV@2L = 0.604 	 First Error = 7
Epoch 40 loss = 129.54911 	 PPV@L = 0.66 	 PPV@2L = 0.613 	 First Error = 7
Epoch 41 loss = 127.13776 	 PPV@L = 0.66 	 PPV@2L = 0.623 	 First Error = 7
Epoch 42 loss = 124.88425 	 PPV@L = 0.66 	 PPV@2L = 0.623 	 First Error = 8
Epoch 43 loss = 122.75711 	 PPV@L = 0.66 	 PPV@2L = 0.623 	 First Error = 8
Epoch 44 loss = 120.77354 	 PPV@L = 0.642 	 PPV@2L = 0.642 	 First Error = 10
Epoch 45 loss = 118.90898 	 PPV@L = 0.66 	 PPV@2L = 0.651 	 First Error = 10
Epoch 46 loss = 117.16591 	 PPV@L = 0.66 	 PPV@2L = 0.651 	 First Error = 10
Epoch 47 loss = 115.52283 	 PPV@L = 0.66 	 PPV@2L = 0.642 	 First Error = 10
Epoch 48 loss = 113.97899 	 PPV@L = 0.642 	 PPV@2L = 0.642 	 First Error = 11
Epoch 49 loss = 112.53179 	 PPV@L = 0.642 	 PPV@2L = 0.651 	 First Error = 11
Epoch 50 loss = 111.16759 	 PPV@L = 0.66 	 PPV@2L = 0.651 	 First Error = 11
Epoch 51 loss = 109.91792 	 PPV@L = 0.66 	 PPV@2L = 0.66 	 First Error = 11
Epoch 52 loss = 108.70859 	 PPV@L = 0.66 	 PPV@2L = 0.67 	 First Error = 14
Epoch 53 loss = 107.59922 	 PPV@L = 0.66 	 PPV@2L = 0.67 	 First Error = 15
Epoch 54 loss = 106.55443 	 PPV@L = 0.66 	 PPV@2L = 0.66 	 First Error = 16
Epoch 55 loss = 105.56981 	 PPV@L = 0.66 	 PPV@2L = 0.66 	 First Error = 17
Epoch 56 loss = 104.65596 	 PPV@L = 0.66 	 PPV@2L = 0.66 	 First Error = 17
Epoch 57 loss = 103.79572 	 PPV@L = 0.642 	 PPV@2L = 0.66 	 First Error = 17
Epoch 58 loss = 102.99115 	 PPV@L = 0.642 	 PPV@2L = 0.67 	 First Error = 17
Epoch 59 loss = 102.23594 	 PPV@L = 0.642 	 PPV@2L = 0.67 	 First Error = 17
Epoch 60 loss = 101.54546 	 PPV@L = 0.642 	 PPV@2L = 0.67 	 First Error = 17
Epoch 61 loss = 100.86366 	 PPV@L = 0.679 	 PPV@2L = 0.67 	 First Error = 17
Epoch 62 loss = 100.23917 	 PPV@L = 0.679 	 PPV@2L = 0.67 	 First Error = 17
Epoch 63 loss = 99.65857 	 PPV@L = 0.698 	 PPV@2L = 0.67 	 First Error = 17
Epoch 64 loss = 99.11799 	 PPV@L = 0.717 	 PPV@2L = 0.679 	 First Error = 17
