Epoch 1 ltot = 189.92 	 PPV@L = 0.434 	 PPV@2L = 0.453 	 1st Err = 2
Epoch 2 ltot = 156.98 	 PPV@L = 0.566 	 PPV@2L = 0.538 	 1st Err = 1
Epoch 3 ltot = 130.06 	 PPV@L = 0.585 	 PPV@2L = 0.538 	 1st Err = 1
Epoch 1 ltot = 169.738 	 PPV@L = 0.396 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 2 ltot = 130.457 	 PPV@L = 0.528 	 PPV@2L = 0.443 	 1st Err = 6
Epoch 3 ltot = 118.654 	 PPV@L = 0.623 	 PPV@2L = 0.547 	 1st Err = 6
Epoch 1 ltot = 181.152 	 PPV@L = 0.642 	 PPV@2L = 0.547 	 1st Err = 1
Epoch 2 ltot = 151.381 	 PPV@L = 0.585 	 PPV@2L = 0.585 	 1st Err = 7
Epoch 3 ltot = 134.231 	 PPV@L = 0.623 	 PPV@2L = 0.557 	 1st Err = 7
Epoch 1 ltot = 202.956 	 PPV@L = 0.547 	 PPV@2L = 0.462 	 1st Err = 8
Epoch 2 ltot = 167.265 	 PPV@L = 0.472 	 PPV@2L = 0.491 	 1st Err = 8
Epoch 3 ltot = 139.73 	 PPV@L = 0.434 	 PPV@2L = 0.481 	 1st Err = 1
Epoch 1 ltot = 199.69 	 PPV@L = 0.491 	 PPV@2L = 0.453 	 1st Err = 2
Epoch 2 ltot = 155.011 	 PPV@L = 0.396 	 PPV@2L = 0.387 	 1st Err = 10
Epoch 3 ltot = 132.693 	 PPV@L = 0.66 	 PPV@2L = 0.481 	 1st Err = 7
