Epoch 1 loss = 1579.74843 	 PPV@L = 0.358 	 First Error = 1
Epoch 2 loss = 1267.77604 	 PPV@L = 0.377 	 First Error = 1
Epoch 3 loss = 1033.84722 	 PPV@L = 0.377 	 First Error = 1
Epoch 4 loss = 837.12053 	 PPV@L = 0.377 	 First Error = 1
Epoch 5 loss = 681.00716 	 PPV@L = 0.415 	 First Error = 1
Epoch 6 loss = 553.9114 	 PPV@L = 0.396 	 First Error = 2
Epoch 7 loss = 451.82768 	 PPV@L = 0.396 	 First Error = 3
Epoch 8 loss = 370.51866 	 PPV@L = 0.396 	 First Error = 4
Epoch 9 loss = 306.77225 	 PPV@L = 0.415 	 First Error = 4
Epoch 10 loss = 257.13445 	 PPV@L = 0.396 	 First Error = 4
Epoch 11 loss = 218.93492 	 PPV@L = 0.415 	 First Error = 6
Epoch 12 loss = 189.79547 	 PPV@L = 0.434 	 First Error = 7
Epoch 13 loss = 167.77571 	 PPV@L = 0.434 	 First Error = 8
Epoch 14 loss = 151.27522 	 PPV@L = 0.453 	 First Error = 9
Epoch 15 loss = 139.00563 	 PPV@L = 0.509 	 First Error = 8
Epoch 16 loss = 129.94683 	 PPV@L = 0.491 	 First Error = 8
Epoch 17 loss = 123.29474 	 PPV@L = 0.491 	 First Error = 7
Epoch 18 loss = 118.44932 	 PPV@L = 0.547 	 First Error = 7
Epoch 19 loss = 114.94236 	 PPV@L = 0.66 	 First Error = 9
Epoch 20 loss = 112.40496 	 PPV@L = 0.717 	 First Error = 9
Epoch 21 loss = 110.56518 	 PPV@L = 0.755 	 First Error = 9
Epoch 22 loss = 109.24477 	 PPV@L = 0.774 	 First Error = 11
Epoch 23 loss = 108.29699 	 PPV@L = 0.83 	 First Error = 11
Epoch 24 loss = 107.61194 	 PPV@L = 0.83 	 First Error = 12
Epoch 25 loss = 107.1104 	 PPV@L = 0.849 	 First Error = 13
Epoch 26 loss = 106.75985 	 PPV@L = 0.849 	 First Error = 13
Epoch 27 loss = 106.53523 	 PPV@L = 0.868 	 First Error = 14
Epoch 28 loss = 106.31346 	 PPV@L = 0.868 	 First Error = 15
Epoch 29 loss = 106.14548 	 PPV@L = 0.887 	 First Error = 15
Epoch 30 loss = 106.03384 	 PPV@L = 0.868 	 First Error = 15
Epoch 31 loss = 105.96618 	 PPV@L = 0.868 	 First Error = 15
