Epoch 1 ltot = 464.604 	 llike = 393.718  	 lreg = 70.886 	 PPV@L = 0.321 	 PPV@2L = 0.368 	 1st Err = 1
Epoch 2 ltot = 372.834 	 llike = 324.249  	 lreg = 48.585 	 PPV@L = 0.377 	 PPV@2L = 0.377 	 1st Err = 1
Epoch 3 ltot = 303.661 	 llike = 268.082  	 lreg = 35.579 	 PPV@L = 0.377 	 PPV@2L = 0.387 	 1st Err = 2
Epoch 4 ltot = 253.502 	 llike = 226.087  	 lreg = 27.415 	 PPV@L = 0.377 	 PPV@2L = 0.415 	 1st Err = 2
Epoch 5 ltot = 218.745 	 llike = 196.921  	 lreg = 21.824 	 PPV@L = 0.358 	 PPV@2L = 0.453 	 1st Err = 3
Epoch 6 ltot = 195.291 	 llike = 177.706  	 lreg = 17.585 	 PPV@L = 0.34 	 PPV@2L = 0.443 	 1st Err = 3
Epoch 7 ltot = 179.497 	 llike = 165.095  	 lreg = 14.402 	 PPV@L = 0.321 	 PPV@2L = 0.434 	 1st Err = 4
Epoch 8 ltot = 168.927 	 llike = 156.72  	 lreg = 12.207 	 PPV@L = 0.377 	 PPV@2L = 0.415 	 1st Err = 4
Epoch 9 ltot = 161.844 	 llike = 151.093  	 lreg = 10.751 	 PPV@L = 0.415 	 PPV@2L = 0.396 	 1st Err = 3
Epoch 10 ltot = 156.857 	 llike = 147.085  	 lreg = 9.772 	 PPV@L = 0.396 	 PPV@2L = 0.406 	 1st Err = 2
Epoch 11 ltot = 152.942 	 llike = 143.871  	 lreg = 9.071 	 PPV@L = 0.415 	 PPV@2L = 0.425 	 1st Err = 2
Epoch 12 ltot = 149.494 	 llike = 140.966  	 lreg = 8.528 	 PPV@L = 0.415 	 PPV@2L = 0.415 	 1st Err = 2
Epoch 13 ltot = 146.326 	 llike = 138.215  	 lreg = 8.111 	 PPV@L = 0.453 	 PPV@2L = 0.415 	 1st Err = 3
Epoch 14 ltot = 143.436 	 llike = 135.641  	 lreg = 7.795 	 PPV@L = 0.415 	 PPV@2L = 0.425 	 1st Err = 3
Epoch 15 ltot = 140.801 	 llike = 133.216  	 lreg = 7.585 	 PPV@L = 0.434 	 PPV@2L = 0.443 	 1st Err = 3
Epoch 16 ltot = 138.423 	 llike = 130.959  	 lreg = 7.464 	 PPV@L = 0.415 	 PPV@2L = 0.462 	 1st Err = 3
Epoch 17 ltot = 136.286 	 llike = 128.878  	 lreg = 7.408 	 PPV@L = 0.434 	 PPV@2L = 0.472 	 1st Err = 3
Epoch 18 ltot = 134.361 	 llike = 126.975  	 lreg = 7.386 	 PPV@L = 0.453 	 PPV@2L = 0.472 	 1st Err = 3
Epoch 19 ltot = 132.63 	 llike = 125.261  	 lreg = 7.369 	 PPV@L = 0.472 	 PPV@2L = 0.481 	 1st Err = 4
Epoch 20 ltot = 131.074 	 llike = 123.745  	 lreg = 7.329 	 PPV@L = 0.472 	 PPV@2L = 0.472 	 1st Err = 4
Epoch 21 ltot = 129.685 	 llike = 122.401  	 lreg = 7.284 	 PPV@L = 0.472 	 PPV@2L = 0.462 	 1st Err = 4
Epoch 22 ltot = 128.463 	 llike = 121.256  	 lreg = 7.207 	 PPV@L = 0.453 	 PPV@2L = 0.481 	 1st Err = 4
Epoch 23 ltot = 127.367 	 llike = 120.287  	 lreg = 7.08 	 PPV@L = 0.453 	 PPV@2L = 0.491 	 1st Err = 4
Epoch 24 ltot = 126.373 	 llike = 119.45  	 lreg = 6.923 	 PPV@L = 0.434 	 PPV@2L = 0.491 	 1st Err = 4
Epoch 25 ltot = 125.467 	 llike = 118.732  	 lreg = 6.735 	 PPV@L = 0.434 	 PPV@2L = 0.481 	 1st Err = 5
Epoch 26 ltot = 124.632 	 llike = 118.08  	 lreg = 6.552 	 PPV@L = 0.453 	 PPV@2L = 0.491 	 1st Err = 5
Epoch 27 ltot = 123.857 	 llike = 117.477  	 lreg = 6.38 	 PPV@L = 0.472 	 PPV@2L = 0.491 	 1st Err = 5
Epoch 28 ltot = 123.146 	 llike = 116.953  	 lreg = 6.193 	 PPV@L = 0.472 	 PPV@2L = 0.5 	 1st Err = 5
Epoch 29 ltot = 122.481 	 llike = 116.444  	 lreg = 6.037 	 PPV@L = 0.453 	 PPV@2L = 0.5 	 1st Err = 5
Epoch 30 ltot = 121.856 	 llike = 115.957  	 lreg = 5.899 	 PPV@L = 0.453 	 PPV@2L = 0.491 	 1st Err = 5
