Epoch 1 ltot = 12685.335 llike = 1790.088 lreg = 10895.247 	 PPV@L = 0.415 	 PPV@2L = 0.387 	 1st Err = 1
Epoch 2 ltot = 7809.485 llike = 1457.66 lreg = 6351.825 	 PPV@L = 0.415 	 PPV@2L = 0.396 	 1st Err = 1
Epoch 3 ltot = 5040.489 llike = 1142.629 lreg = 3897.86 	 PPV@L = 0.415 	 PPV@2L = 0.396 	 1st Err = 1
Epoch 4 ltot = 3433.079 llike = 855.017 lreg = 2578.062 	 PPV@L = 0.434 	 PPV@2L = 0.396 	 1st Err = 1
Epoch 5 ltot = 2464.252 llike = 630.671 lreg = 1833.581 	 PPV@L = 0.434 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 6 ltot = 1858.395 llike = 483.961 lreg = 1374.434 	 PPV@L = 0.453 	 PPV@2L = 0.425 	 1st Err = 1
Epoch 7 ltot = 1451.074 llike = 379.402 lreg = 1071.672 	 PPV@L = 0.453 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 8 ltot = 1171.707 llike = 307.363 lreg = 864.344 	 PPV@L = 0.472 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 9 ltot = 974.248 llike = 259.396 lreg = 714.852 	 PPV@L = 0.472 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 10 ltot = 828.024 llike = 226.135 lreg = 601.889 	 PPV@L = 0.472 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 11 ltot = 717.027 llike = 203.036 lreg = 513.991 	 PPV@L = 0.472 	 PPV@2L = 0.453 	 1st Err = 1
Epoch 12 ltot = 629.16 llike = 184.963 lreg = 444.197 	 PPV@L = 0.472 	 PPV@2L = 0.453 	 1st Err = 1
Epoch 13 ltot = 557.811 llike = 169.686 lreg = 388.125 	 PPV@L = 0.472 	 PPV@2L = 0.453 	 1st Err = 1
Epoch 14 ltot = 499.483 llike = 156.838 lreg = 342.645 	 PPV@L = 0.472 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 15 ltot = 451.591 llike = 146.387 lreg = 305.204 	 PPV@L = 0.472 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 16 ltot = 412.025 llike = 138.079 lreg = 273.946 	 PPV@L = 0.472 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 17 ltot = 379.096 llike = 131.666 lreg = 247.43 	 PPV@L = 0.472 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 18 ltot = 351.485 llike = 126.815 lreg = 224.67 	 PPV@L = 0.491 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 19 ltot = 328.113 llike = 123.217 lreg = 204.896 	 PPV@L = 0.491 	 PPV@2L = 0.425 	 1st Err = 1
Epoch 20 ltot = 308.04 llike = 120.462 lreg = 187.578 	 PPV@L = 0.491 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 21 ltot = 290.576 llike = 118.218 lreg = 172.358 	 PPV@L = 0.491 	 PPV@2L = 0.434 	 1st Err = 1
Epoch 22 ltot = 275.268 llike = 116.336 lreg = 158.932 	 PPV@L = 0.491 	 PPV@2L = 0.443 	 1st Err = 1
Epoch 23 ltot = 261.763 llike = 114.709 lreg = 147.054 	 PPV@L = 0.509 	 PPV@2L = 0.453 	 1st Err = 1
Epoch 24 ltot = 249.79 llike = 113.285 lreg = 136.505 	 PPV@L = 0.509 	 PPV@2L = 0.453 	 1st Err = 1
Epoch 25 ltot = 239.113 llike = 112.008 lreg = 127.105 	 PPV@L = 0.509 	 PPV@2L = 0.462 	 1st Err = 2
Epoch 26 ltot = 229.522 llike = 110.86 lreg = 118.662 	 PPV@L = 0.509 	 PPV@2L = 0.472 	 1st Err = 3
Epoch 27 ltot = 220.869 llike = 109.817 lreg = 111.052 	 PPV@L = 0.509 	 PPV@2L = 0.462 	 1st Err = 3
Epoch 28 ltot = 213.031 llike = 108.859 lreg = 104.172 	 PPV@L = 0.509 	 PPV@2L = 0.472 	 1st Err = 3
Epoch 29 ltot = 205.921 llike = 107.978 lreg = 97.943 	 PPV@L = 0.491 	 PPV@2L = 0.481 	 1st Err = 3
Epoch 30 ltot = 199.442 llike = 107.166 lreg = 92.276 	 PPV@L = 0.491 	 PPV@2L = 0.481 	 1st Err = 3
