Epoch 1 loss = 420.16197 	 PPV@L = 0.377 	 PPV@2L = 0.349 	 First Error = 1
Epoch 2 loss = 380.41167 	 PPV@L = 0.358 	 PPV@2L = 0.34 	 First Error = 1
Epoch 3 loss = 350.11197 	 PPV@L = 0.358 	 PPV@2L = 0.349 	 First Error = 1
Epoch 4 loss = 323.09752 	 PPV@L = 0.358 	 PPV@2L = 0.34 	 First Error = 1
Epoch 5 loss = 299.53178 	 PPV@L = 0.358 	 PPV@2L = 0.34 	 First Error = 1
Epoch 6 loss = 279.02794 	 PPV@L = 0.358 	 PPV@2L = 0.311 	 First Error = 1
Epoch 7 loss = 261.20396 	 PPV@L = 0.358 	 PPV@2L = 0.302 	 First Error = 1
Epoch 8 loss = 245.74995 	 PPV@L = 0.34 	 PPV@2L = 0.292 	 First Error = 1
Epoch 9 loss = 232.33841 	 PPV@L = 0.34 	 PPV@2L = 0.292 	 First Error = 1
Epoch 10 loss = 220.72291 	 PPV@L = 0.358 	 PPV@2L = 0.274 	 First Error = 1
Epoch 11 loss = 210.67602 	 PPV@L = 0.377 	 PPV@2L = 0.302 	 First Error = 1
Epoch 12 loss = 201.99651 	 PPV@L = 0.34 	 PPV@2L = 0.302 	 First Error = 2
Epoch 13 loss = 194.50566 	 PPV@L = 0.34 	 PPV@2L = 0.321 	 First Error = 2
Epoch 14 loss = 188.04475 	 PPV@L = 0.34 	 PPV@2L = 0.311 	 First Error = 2
Epoch 15 loss = 182.47447 	 PPV@L = 0.358 	 PPV@2L = 0.33 	 First Error = 2
Epoch 16 loss = 177.66735 	 PPV@L = 0.377 	 PPV@2L = 0.33 	 First Error = 2
Epoch 17 loss = 173.51063 	 PPV@L = 0.377 	 PPV@2L = 0.358 	 First Error = 2
Epoch 18 loss = 169.90159 	 PPV@L = 0.358 	 PPV@2L = 0.349 	 First Error = 3
Epoch 19 loss = 166.74782 	 PPV@L = 0.396 	 PPV@2L = 0.358 	 First Error = 4
Epoch 20 loss = 163.96414 	 PPV@L = 0.377 	 PPV@2L = 0.377 	 First Error = 4
Epoch 21 loss = 161.46937 	 PPV@L = 0.377 	 PPV@2L = 0.387 	 First Error = 6
Epoch 22 loss = 159.19153 	 PPV@L = 0.434 	 PPV@2L = 0.406 	 First Error = 7
Epoch 23 loss = 157.05172 	 PPV@L = 0.453 	 PPV@2L = 0.377 	 First Error = 6
Epoch 24 loss = 154.97907 	 PPV@L = 0.434 	 PPV@2L = 0.396 	 First Error = 7
Epoch 25 loss = 152.89932 	 PPV@L = 0.415 	 PPV@2L = 0.406 	 First Error = 8
Epoch 26 loss = 150.73329 	 PPV@L = 0.415 	 PPV@2L = 0.368 	 First Error = 9
Epoch 27 loss = 148.39629 	 PPV@L = 0.396 	 PPV@2L = 0.368 	 First Error = 10
Epoch 28 loss = 145.81871 	 PPV@L = 0.396 	 PPV@2L = 0.406 	 First Error = 9
Epoch 29 loss = 142.95264 	 PPV@L = 0.415 	 PPV@2L = 0.406 	 First Error = 8
Epoch 30 loss = 139.79781 	 PPV@L = 0.453 	 PPV@2L = 0.415 	 First Error = 8
Epoch 31 loss = 136.44246 	 PPV@L = 0.472 	 PPV@2L = 0.443 	 First Error = 8
Epoch 32 loss = 133.04665 	 PPV@L = 0.547 	 PPV@2L = 0.462 	 First Error = 8
Epoch 33 loss = 129.78808 	 PPV@L = 0.547 	 PPV@2L = 0.491 	 First Error = 8
Epoch 34 loss = 126.79088 	 PPV@L = 0.547 	 PPV@2L = 0.528 	 First Error = 8
Epoch 35 loss = 124.06839 	 PPV@L = 0.604 	 PPV@2L = 0.557 	 First Error = 8
Epoch 36 loss = 121.59228 	 PPV@L = 0.623 	 PPV@2L = 0.585 	 First Error = 8
Epoch 37 loss = 119.33191 	 PPV@L = 0.679 	 PPV@2L = 0.585 	 First Error = 8
Epoch 38 loss = 117.25275 	 PPV@L = 0.717 	 PPV@2L = 0.604 	 First Error = 8
Epoch 39 loss = 115.354 	 PPV@L = 0.698 	 PPV@2L = 0.613 	 First Error = 8
Epoch 40 loss = 113.63242 	 PPV@L = 0.717 	 PPV@2L = 0.632 	 First Error = 8
Epoch 41 loss = 112.0924 	 PPV@L = 0.736 	 PPV@2L = 0.66 	 First Error = 8
Epoch 42 loss = 110.71545 	 PPV@L = 0.755 	 PPV@2L = 0.708 	 First Error = 8
Epoch 43 loss = 109.49823 	 PPV@L = 0.736 	 PPV@2L = 0.708 	 First Error = 8
Epoch 44 loss = 108.42577 	 PPV@L = 0.774 	 PPV@2L = 0.717 	 First Error = 9
Epoch 45 loss = 107.48004 	 PPV@L = 0.774 	 PPV@2L = 0.736 	 First Error = 9
Epoch 46 loss = 106.6447 	 PPV@L = 0.774 	 PPV@2L = 0.745 	 First Error = 10
Epoch 47 loss = 105.90884 	 PPV@L = 0.792 	 PPV@2L = 0.764 	 First Error = 10
Epoch 48 loss = 105.25723 	 PPV@L = 0.811 	 PPV@2L = 0.774 	 First Error = 10
Epoch 49 loss = 104.67811 	 PPV@L = 0.811 	 PPV@2L = 0.774 	 First Error = 10
